index,threshold,defect_percent,defect_count,avg_defect_size_px,max_defect_size_px,grade,overlay_path,report_path
0,0.2828,3.14483642578125,528,3.903409090909091,68.0,C,outputs\batch_overlays\idx_0000_overlay.png,outputs\batch_reports\idx_0000_report.json
1,0.2828,0.19989013671875,39,3.358974358974359,36.0,A,outputs\batch_overlays\idx_0001_overlay.png,outputs\batch_reports\idx_0001_report.json
2,0.2828,4.8126220703125,1080,2.9203703703703705,31.0,C,outputs\batch_overlays\idx_0002_overlay.png,outputs\batch_reports\idx_0002_report.json
3,0.2828,0.9857177734375,446,1.4484304932735426,7.0,A,outputs\batch_overlays\idx_0003_overlay.png,outputs\batch_reports\idx_0003_report.json
4,0.2828,3.7841796875,793,3.1273644388398485,19.0,C,outputs\batch_overlays\idx_0004_overlay.png,outputs\batch_reports\idx_0004_report.json
5,0.2828,6.365966796875,1014,4.11439842209073,121.0,C,outputs\batch_overlays\idx_0005_overlay.png,outputs\batch_reports\idx_0005_report.json
6,0.2828,12.08038330078125,1143,6.926509186351706,175.0,C,outputs\batch_overlays\idx_0006_overlay.png,outputs\batch_reports\idx_0006_report.json
7,0.2828,9.37957763671875,1113,5.522911051212938,66.0,C,outputs\batch_overlays\idx_0007_overlay.png,outputs\batch_reports\idx_0007_report.json
8,0.2828,5.6365966796875,1291,2.8613477924089854,26.0,C,outputs\batch_overlays\idx_0008_overlay.png,outputs\batch_reports\idx_0008_report.json
9,0.2828,1.08642578125,158,4.506329113924051,112.0,B,outputs\batch_overlays\idx_0009_overlay.png,outputs\batch_reports\idx_0009_report.json
10,0.2828,5.908203125,794,4.876574307304786,64.0,C,outputs\batch_overlays\idx_0010_overlay.png,outputs\batch_reports\idx_0010_report.json
11,0.2828,1.70440673828125,513,2.1773879142300196,257.0,B,outputs\batch_overlays\idx_0011_overlay.png,outputs\batch_reports\idx_0011_report.json
12,0.2828,0.3143310546875,53,3.8867924528301887,52.0,A,outputs\batch_overlays\idx_0012_overlay.png,outputs\batch_reports\idx_0012_report.json
13,0.2828,1.4801025390625,248,3.911290322580645,92.0,B,outputs\batch_overlays\idx_0013_overlay.png,outputs\batch_reports\idx_0013_report.json
14,0.2828,2.88543701171875,848,2.229952830188679,38.0,B,outputs\batch_overlays\idx_0014_overlay.png,outputs\batch_reports\idx_0014_report.json
15,0.2828,3.71246337890625,1092,2.228021978021978,35.0,C,outputs\batch_overlays\idx_0015_overlay.png,outputs\batch_reports\idx_0015_report.json
16,0.2828,7.75299072265625,1190,4.269747899159664,65.0,C,outputs\batch_overlays\idx_0016_overlay.png,outputs\batch_reports\idx_0016_report.json
17,0.2828,3.3782958984375,801,2.764044943820225,62.0,C,outputs\batch_overlays\idx_0017_overlay.png,outputs\batch_reports\idx_0017_report.json
18,0.2828,11.798095703125,1747,4.4258729250143105,78.0,C,outputs\batch_overlays\idx_0018_overlay.png,outputs\batch_reports\idx_0018_report.json
19,0.2828,3.78570556640625,537,4.620111731843576,54.0,C,outputs\batch_overlays\idx_0019_overlay.png,outputs\batch_reports\idx_0019_report.json
20,0.2828,2.557373046875,556,3.014388489208633,129.0,B,outputs\batch_overlays\idx_0020_overlay.png,outputs\batch_reports\idx_0020_report.json
21,0.2828,11.8072509765625,1262,6.131537242472266,161.0,C,outputs\batch_overlays\idx_0021_overlay.png,outputs\batch_reports\idx_0021_report.json
22,0.2828,6.1614990234375,1311,3.080091533180778,28.0,C,outputs\batch_overlays\idx_0022_overlay.png,outputs\batch_reports\idx_0022_report.json
23,0.2828,2.61077880859375,887,1.9289740698985345,23.0,B,outputs\batch_overlays\idx_0023_overlay.png,outputs\batch_reports\idx_0023_report.json
24,0.2828,0.5645751953125,26,14.23076923076923,257.0,A,outputs\batch_overlays\idx_0024_overlay.png,outputs\batch_reports\idx_0024_report.json
25,0.2828,13.421630859375,2164,4.064695009242144,58.0,C,outputs\batch_overlays\idx_0025_overlay.png,outputs\batch_reports\idx_0025_report.json
26,0.2828,5.0384521484375,1053,3.1358024691358026,35.0,C,outputs\batch_overlays\idx_0026_overlay.png,outputs\batch_reports\idx_0026_report.json
27,0.2828,1.123046875,514,1.4319066147859922,10.0,B,outputs\batch_overlays\idx_0027_overlay.png,outputs\batch_reports\idx_0027_report.json
28,0.2828,5.7220458984375,892,4.2040358744394615,69.0,C,outputs\batch_overlays\idx_0028_overlay.png,outputs\batch_reports\idx_0028_report.json
29,0.2828,1.16729736328125,275,2.7818181818181817,50.0,B,outputs\batch_overlays\idx_0029_overlay.png,outputs\batch_reports\idx_0029_report.json
30,0.2828,1.6387939453125,632,1.6993670886075949,17.0,B,outputs\batch_overlays\idx_0030_overlay.png,outputs\batch_reports\idx_0030_report.json
31,0.2828,9.92431640625,1201,5.41548709408826,104.0,C,outputs\batch_overlays\idx_0031_overlay.png,outputs\batch_reports\idx_0031_report.json
32,0.2828,2.38800048828125,579,2.70293609671848,86.0,B,outputs\batch_overlays\idx_0032_overlay.png,outputs\batch_reports\idx_0032_report.json
33,0.2828,5.340576171875,1161,3.0146425495262705,62.0,C,outputs\batch_overlays\idx_0033_overlay.png,outputs\batch_reports\idx_0033_report.json
34,0.2828,2.7374267578125,515,3.483495145631068,31.0,B,outputs\batch_overlays\idx_0034_overlay.png,outputs\batch_reports\idx_0034_report.json
35,0.2828,6.35223388671875,1021,4.077375122428991,52.0,C,outputs\batch_overlays\idx_0035_overlay.png,outputs\batch_reports\idx_0035_report.json
36,0.2828,1.07421875,332,2.1204819277108435,21.0,B,outputs\batch_overlays\idx_0036_overlay.png,outputs\batch_reports\idx_0036_report.json
37,0.2828,4.88433837890625,1008,3.175595238095238,42.0,C,outputs\batch_overlays\idx_0037_overlay.png,outputs\batch_reports\idx_0037_report.json
38,0.2828,1.092529296875,391,1.8312020460358056,9.0,B,outputs\batch_overlays\idx_0038_overlay.png,outputs\batch_reports\idx_0038_report.json
39,0.2828,11.5631103515625,1489,5.089321692411014,52.0,C,outputs\batch_overlays\idx_0039_overlay.png,outputs\batch_reports\idx_0039_report.json
40,0.2828,3.34320068359375,938,2.3358208955223883,24.0,C,outputs\batch_overlays\idx_0040_overlay.png,outputs\batch_reports\idx_0040_report.json
41,0.2828,0.25787353515625,126,1.3412698412698412,7.0,A,outputs\batch_overlays\idx_0041_overlay.png,outputs\batch_reports\idx_0041_report.json
42,0.2828,1.4495849609375,116,8.189655172413794,835.0,B,outputs\batch_overlays\idx_0042_overlay.png,outputs\batch_reports\idx_0042_report.json
43,0.2828,1.45263671875,115,8.278260869565218,838.0,B,outputs\batch_overlays\idx_0043_overlay.png,outputs\batch_reports\idx_0043_report.json
44,0.2828,1.4495849609375,115,8.26086956521739,836.0,B,outputs\batch_overlays\idx_0044_overlay.png,outputs\batch_reports\idx_0044_report.json
